chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
javaProjects/JFreeChart (36th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (9th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (30th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (24th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (3rd copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart.java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (11th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (28th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (14th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (38th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (25th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (35th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (17th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (another copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (6th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (12th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (4th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (31st copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (32nd copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (21st copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (20th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (5th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (16th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (27th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (23rd copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (37th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (13th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (7th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (19th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (8th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (26th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (34th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (22nd copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (29th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (18th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (15th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (33rd copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
javaProjects/JFreeChart (10th copy).java,JFreeChart,1551,745,0.48033527,103,0.0046634492
