chemin,class,methode,methode_LOC,methode_CLOC,methode_DC,CC,methode_BC,,
javaProjects\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,AbstractAnnotation,3,,,1,,,
javaProjects\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,addChangeListener_AnnotationChangeListener,3,,,1,,,0.11111111
javaProjects\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,removeChangeListener_AnnotationChangeListener,3,,,1,,,
javaProjects\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,hasListener_EventListener,4,,,1,,,
javaProjects\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,fireAnnotationChanged,5,,,2,,,
javaProjects\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,notifyListeners_AnnotationChangeEvent,9,,,2,,,
javaProjects\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,getNotify,3,,,1,,,
javaProjects\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,setNotify_boolean,6,,,2,,,
javaProjects\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,clone,5,,,1,,,
javaProjects\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,writeObject_ObjectOutputStream,3,,,1,,,
javaProjects\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,readObject_ObjectInputStream,1,,,1,,,
javaProjects\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation,AbstractXYAnnotation,5,,,1,,,
javaProjects\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation,getToolTipText,3,,,1,,,
javaProjects\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation,setToolTipText_String,3,,,1,,,
javaProjects\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation,getURL,3,,,1,,,
javaProjects\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation,setURL_String,3,,,1,,,
javaProjects\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation,draw_Graphics2D_XYPlot_Rectangle2D_ValueAxis_ValueAxis_rendererIndex,PlotRenderingInfo,,,NaN,,,
javaProjects\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation,addEntity_PlotRenderingInfo_Shape_int_toolTipText,_urlText,,,NaN,,,
